% # columns="iteration, evaluation, sigma, max axis length,  min axis length, all principal axes lengths  (sorted square roots of eigenvalues of C)", seed=323414, Fri Nov 28 18:42:16 2025
1 38 2.24536659693049 1.0000477284116918 1.0 1.0 1.0000022727298554 1.000004545464876 1.000006818205062 1.0000090909504133 1.00001136370093 1.000013636456612 1.0000159092174594 1.0000181819834721 1.0000204547546503 1.0000227275309936 1.0000250003125026 1.0000272730991768 1.0000295458910167 1.000031818688022 1.0000340914901926 1.0000363642975287 1.0000386371100303 1.0000409099276972 1.0000431827505298 1.000045455578528 1.0000477284116918
2 75 2.0434432686406385 1.0455034686005187 0.9419946355145918 0.9419946355145918 0.9611100024105994 0.9703662188556657 0.9752108248064347 0.9776527039376351 0.9785998521214926 0.9828748952003273 0.9884129379832365 0.9900385060098037 0.9918358276880207 0.9948561799347526 0.9994050345381243 0.999856980211369 1.0008376113008226 1.0053971985702428 1.0073707059356447 1.0083364777394581 1.0095504113111342 1.0189856869759115 1.0229228157913095 1.0293688584971763 1.0455034686005187
3 112 1.8160206380373558 1.0904590249399635 0.9099285782189918 0.9099285782189918 0.9241552862142755 0.9513090328515167 0.9590840417056564 0.9653602224848936 0.9713371889069405 0.9727288703736834 0.9752440609608507 0.9802851742832622 0.9835729879920984 0.9887671841747384 0.9925949425577906 0.9936992311873536 1.0021614918778086 1.0046949001086494 1.0093620581420588 1.0139029465415217 1.016200912115614 1.0228873741222306 1.0362033152224803 1.0416314027530158 1.0904590249399635
4 149 1.6486602834957889 1.097676424101759 0.8923815497158943 0.8923815497158943 0.900635760227746 0.9390948972265469 0.947488748929501 0.9525899800442604 0.9549195750387383 0.9625839223728704 0.969440663012657 0.9727522244962105 0.9772435855249401 0.9781385365956375 0.9843623111640721 0.9898020910262708 0.995764320386074 1.0026686842992802 1.0105365569013625 1.0142430202468387 1.0194927113245176 1.032516501101533 1.0638990052220545 1.0717593304211366 1.097676424101759
5 186 1.4269446740840133 1.1131879067181427 0.8661256592614965 0.8661256592614965 0.8784209974471123 0.9197083012859327 0.9331979699310057 0.9419857672901026 0.9479581506559003 0.9540089561206964 0.9588889498122047 0.9640149246882213 0.9669229281909092 0.9705869877996361 0.9852077425438495 0.992877158195952 0.9969225654942206 1.0031446404728415 1.0091531535767988 1.0156250187482931 1.0312265421515088 1.0402932301961552 1.066776682657159 1.0739079338678157 1.1131879067181427
6 223 1.2815305219640962 1.1110650413711372 0.8406643262946435 0.8406643262946435 0.8636588758963318 0.9111196015644468 0.9182502651945714 0.9263202771171808 0.9347203123375828 0.9435197993274649 0.9510415262782023 0.9585213766901166 0.9645778847092127 0.9708516650238899 0.9798615306285611 0.9896038471167093 0.9955814938865732 0.9971900013723507 1.0032180028860391 1.0217052129214483 1.040723369039862 1.046766385402174 1.0683815997250343 1.0791044231820126 1.1110650413711372
7 260 1.1892828145344487 1.1280287627342283 0.8214337399133724 0.8214337399133724 0.8592214491491168 0.8847362608949846 0.9061327243835892 0.9154326954100664 0.9248101383068947 0.9328175147056019 0.938958605662242 0.947823340970697 0.9589832046791371 0.9677911452501007 0.9731391787411051 0.9833597659797665 0.9884201202363486 0.9923866527762859 1.0025413615326801 1.0234686856751019 1.0331730238538865 1.0507935003237137 1.0721190194028603 1.0892096372172981 1.1280287627342283
8 297 1.079045851945346 1.1191214351417922 0.7909873248031111 0.7909873248031111 0.8580624086721895 0.8712245201404087 0.894173503149594 0.9025354315494876 0.9126798270039602 0.9179357056020714 0.9355054347307339 0.9497131413013623 0.9544306304686185 0.9619681381296374 0.9705191371619585 0.9749922523904465 0.9851343720367995 0.991906551154817 1.0034578546121575 1.0161770390012164 1.0320037103543647 1.0541757930287772 1.0748529897864796 1.090860146561132 1.1191214351417922
9 334 0.9975166658932956 1.1327159107160754 0.7641295799613614 0.7641295799613614 0.8411514818989471 0.8664742711437474 0.8873549135974833 0.8990000197499167 0.9087147411621956 0.912016388834764 0.9354145899690238 0.9379729430261988 0.9508093854811641 0.9590724678942564 0.9608981731428125 0.9668035257783022 0.9815656401872187 0.9896079853572317 1.008655246212409 1.0110897932499896 1.0405162966293409 1.0483532519467633 1.0734485962886435 1.0867999145567029 1.1327159107160754
10 371 0.9655569108726288 1.1511687992178035 0.7443911520227242 0.7443911520227242 0.8371085525570687 0.8575810766148121 0.8797183916337257 0.8845308997634337 0.8922933339607847 0.9025401921216082 0.9215073038391663 0.9338391053900789 0.9409634542245584 0.9553387955460485 0.9616087795647235 0.9737624911380054 0.9786541104678813 0.9857216159645431 1.0129250841850104 1.0200699785370928 1.0359190727727794 1.0531216560089653 1.0799843393997393 1.0880839213580358 1.1511687992178035
11 408 0.9051260036421086 1.1468707801933224 0.7139132400474739 0.7139132400474739 0.8239247484074502 0.8481365216441131 0.8752352796241681 0.884127161991957 0.8956679542732563 0.9007851490149164 0.9182433397753242 0.9246793433474655 0.9319107222811793 0.9506333866357455 0.9616100457115535 0.9785008698587058 0.9812475942403048 1.0012736018560644 1.0230284784321046 1.0279992353717444 1.0336880175087655 1.0590803760566103 1.087829149803324 1.1057333474330575 1.1468707801933224
12 445 0.8303853443137302 1.152951118914708 0.6980219574389898 0.6980219574389898 0.8139679956146605 0.8427001251490261 0.8647197507601552 0.8821905671709734 0.8872150464396162 0.8956985612441214 0.9199659632679049 0.9259113704269435 0.9270689119340538 0.9500708528275783 0.9590614087070598 0.9807772250429575 0.9836109706202246 1.0048171998991944 1.0131101333528048 1.0287758583553026 1.0399349267996196 1.0502847966869895 1.086834847581318 1.1120268836622351 1.152951118914708
13 482 0.7761963284687703 1.1662270430240054 0.6774885447235173 0.6774885447235173 0.7942984632027777 0.8329943121328242 0.8468142538956943 0.8794486036001438 0.8886147467450689 0.8968119277565698 0.9088369962509023 0.9264347786905298 0.9327980501563051 0.9414433058587246 0.9587924720743349 0.9664740024693667 0.9775935752728058 1.000764459042789 1.016057485665713 1.0237110596745436 1.0412460216061958 1.059219573069038 1.0937924767546878 1.1186807007702204 1.1662270430240054
14 519 0.724354922005727 1.174835119018315 0.6549135060438934 0.6549135060438934 0.7975576254285016 0.8139434485673588 0.8361658237199823 0.8685945998549753 0.8818010802378581 0.8906631922982521 0.9050505646248249 0.907751714361865 0.927973234746451 0.9445509872910648 0.9577372780303751 0.963642639078169 0.9813467537420789 1.0054501123731086 1.0106851632607532 1.0401127610855483 1.0430864548728096 1.065471748155273 1.1060545831430313 1.1164857397890313 1.174835119018315
15 556 0.7044698169201297 1.187313606182568 0.6352742705752276 0.6352742705752276 0.7812040601984891 0.8045812218387085 0.8391193694207619 0.856135723656468 0.8744182236873885 0.8893426658363062 0.9002679935715148 0.9085252261108089 0.9284825107756064 0.943446514718734 0.9459852559315247 0.9506176187709964 0.982267426238446 1.0005671318921865 1.0202696935804703 1.0297805309827206 1.0432443692609004 1.0719969110149596 1.1153751752267238 1.1241701980768608 1.187313606182568
16 593 0.6775698665305439 1.2009265017265511 0.6037040971455324 0.6037040971455324 0.7734319303472933 0.7937266780496323 0.8327176574074672 0.8514618694129086 0.873623804336077 0.8791734733508546 0.9030445877487056 0.9053134760519285 0.9263412399027323 0.9438673194848677 0.9462981821524662 0.9494247688820072 0.9850903836474456 0.9888253608293063 1.0209385960860642 1.0270482135043455 1.0391605232704892 1.0691765639146829 1.1003382864353153 1.1257184234937607 1.2009265017265511
17 630 0.6621700177008532 1.2140310950179942 0.5795447747153475 0.5795447747153475 0.770435195323447 0.7942656630351871 0.8314266434653506 0.8372590436469477 0.8577352651190784 0.878736705067496 0.9031642615135617 0.9107697800968866 0.9181097151051008 0.9288133264906901 0.93410916878177 0.9472283082884985 0.978521767396598 0.9882101586296936 1.0238245691449854 1.0307294117057777 1.0384372350335984 1.0679905279870145 1.0993341471410418 1.1314004939542148 1.2140310950179942
18 667 0.6576385923173514 1.2269924832867476 0.5567775638116468 0.5567775638116468 0.7685054161011609 0.7928989393320067 0.8217277209872521 0.8244270286864749 0.859296440892242 0.8679932116874892 0.8958046071499044 0.9020762728403303 0.9103859149538431 0.9152770502262765 0.9282235689476077 0.9383548967287875 0.9712433274383888 0.9904841406812229 1.0221025918422666 1.0291612533662795 1.050940374620502 1.0829260305129915 1.1047383975294445 1.1402065734306444 1.2269924832867476
19 704 0.6556733616522771 1.2647512994463344 0.5345305835545554 0.5345305835545554 0.7492949592940927 0.788729731844616 0.8053384437156312 0.8123579079022021 0.8554456281509969 0.8769322595357125 0.8816447720344357 0.9057171882386164 0.9088569227632587 0.915055867660296 0.9305187911264277 0.9487026036852677 0.9737779491853689 0.9945645152769212 1.0072441400541827 1.026675643493106 1.045079396716521 1.0673523881447589 1.1083925460744524 1.1414953067963935 1.2647512994463344
20 741 0.6728409698379575 1.3046015232340926 0.5180325902543029 0.5180325902543029 0.7435712546805846 0.7759236270231409 0.7821964615879702 0.8096977329675115 0.8481407507268768 0.8585736128866379 0.874452986514972 0.8954935113667315 0.9070003598713181 0.9148402691336511 0.9337244373603414 0.9509583267037777 0.9701685452702328 0.9921270196457684 1.009173767556578 1.028886461843286 1.045700915905907 1.064826616789001 1.1104472160970946 1.1386434846217122 1.3046015232340926
21 778 0.6384129105758249 1.3283917593423766 0.4986969573819115 0.4986969573819115 0.7401071205607311 0.7641918609353826 0.7781203649926137 0.7979861765150816 0.8505285063441913 0.8606654532749818 0.8791253475493098 0.8924605831193738 0.8989442867386345 0.9190127774547786 0.9264136209915564 0.9509201504259336 0.9710485924216109 0.9897224172513911 1.0179317730850517 1.0326746632100388 1.0419426849662656 1.0716363812598324 1.1144766495087732 1.1432780933311266 1.3283917593423766
22 815 0.5990778479467447 1.342845352547567 0.4760422602109352 0.4760422602109352 0.737838619692634 0.7528927219842724 0.7689125732424814 0.7922200233787872 0.8422422883638324 0.8595770533942318 0.8702833956521427 0.8824326245498564 0.8894680935045898 0.9313377391786204 0.9348341825988622 0.9477734841247606 0.965879710618508 0.9926406731143219 1.014390459219479 1.0352591951029504 1.0469695783475395 1.0771993963737618 1.131655452123857 1.1398895179453796 1.342845352547567
